kind,k,seed,total_structure_proxy,target_alignment,tre_proxy,transfer_accuracy
irrelevant_high,12,102121,42.45671555058276,0.11216791707205347,4.7622813490295295,0.511
relevant_mid,12,102122,6.933240208221392,0.9983183755392393,6.921581101894917,0.7535
mixed_budget_limited,12,102123,39.98900254055924,0.997375837031982,39.884064880964324,0.7345
relevant_high,12,102124,24.664648065054177,0.9993440135460894,24.648468390033027,0.71875
random,4,102140,0.47485936428841,0.08133651740115512,0.03862340694654572,0.507
irrelevant_high,4,102141,21.861839968248916,6.065368390694624e-05,0.0013260011310584133,0.49025
relevant_mid,4,102142,6.946305841376048,0.9969105618205266,6.9248456589034015,0.81725
mixed_budget_limited,4,102143,20.983367289564278,0.00038994828540925915,0.008182428096678324,0.49575
relevant_high,4,102144,24.63687766265665,0.9990237111146975,24.612824952826042,0.8225
random,12,102220,0.9403360872882256,0.34849247848863696,0.327700053671381,0.64525
irrelevant_high,12,102221,42.18789186591546,0.08045311861247707,3.3941474682988533,0.49475
relevant_mid,12,102222,7.032611831581463,0.9980185429301834,7.0186770131485,0.685
mixed_budget_limited,12,102223,39.929010245481486,0.9979143558464102,39.84573253870437,0.78175
relevant_high,12,102224,24.443975837613728,0.9996639042997723,24.435760322438234,0.71
random,4,102240,0.4488289423439138,0.027928042524700464,0.012534913788097157,0.52825
irrelevant_high,4,102241,21.815634163163722,8.559266193302451e-05,0.0018672581997822126,0.50725
relevant_mid,4,102242,6.9140656684042305,0.9955057174789409,6.882991903921266,0.853
mixed_budget_limited,4,102243,21.292797037124725,0.001349566953253484,0.028736055223637223,0.51325
relevant_high,4,102244,24.337797809371587,0.9992362329968231,24.319209402474797,0.8545
random,12,102320,0.9382634744769205,0.3227260934502914,0.30280210574503374,0.5325
irrelevant_high,12,102321,41.87518417318849,0.196845645185896,8.242947645849508,0.57375
relevant_mid,12,102322,7.063440431449655,0.9971158151263063,7.043068163401031,0.78
mixed_budget_limited,12,102323,40.4728859031328,0.9967951859378091,40.343177829252994,0.74175
relevant_high,12,102324,24.753303693797747,0.9995709374753822,24.742682978822256,0.6085
random,4,102340,0.5168833438907763,0.11401277658845924,0.05893130520931482,0.5805
irrelevant_high,4,102341,22.06717794206004,7.501342398561372e-05,0.0016553345751337326,0.48775
relevant_mid,4,102342,6.849707397218603,0.9961985991955802,6.823668914008776,0.77375
mixed_budget_limited,4,102343,20.801201868685364,7.898537085321586e-05,0.0016429906437907202,0.5015
relevant_high,4,102344,24.735963114043116,0.9993826131150009,24.720691454828685,0.786
random,12,102420,0.9603116738151658,0.2898367334571471,0.27833359863935303,0.59925
irrelevant_high,12,102421,42.68036568729252,0.16028565501609712,6.841050370514238,0.53525
relevant_mid,12,102422,6.893744020649717,0.9981418409633762,6.880934347901576,0.6885
mixed_budget_limited,12,102423,40.199916265367136,0.9973399675188233,40.092983182360676,0.67775
relevant_high,12,102424,24.2875184419373,0.9995707531982938,24.27709310232472,0.71175
random,4,102440,0.4557160690973563,0.17972283765560929,0.08190258510343659,0.6045
irrelevant_high,4,102441,22.000469172420903,0.0002787111144324044,0.006131775281081189,0.50275
relevant_mid,4,102442,7.332602827870331,0.9971344099068186,7.311590593849552,0.83975
mixed_budget_limited,4,102443,20.862011079442837,0.0004274382079198162,0.008917220629400396,0.51425
relevant_high,4,102444,24.450931665534313,0.9992539643773501,24.432690399504846,0.8435
random,12,102520,0.9320613996088485,0.28632349521079353,0.26687107768706964,0.617
irrelevant_high,12,102521,42.11976234624392,0.14147724292254493,5.958987849299412,0.5705
relevant_mid,12,102522,7.0982858547938275,0.9976979261882789,7.081945076819396,0.77925
mixed_budget_limited,12,102523,40.76619862691474,0.9974896912172172,40.66386288046093,0.543
relevant_high,12,102524,24.291710402982737,0.9995184113096538,24.280011789983494,0.70525
random,4,102540,0.47340648829873877,0.2670042225795222,0.12640153137230642,0.59175
irrelevant_high,4,102541,21.87911422663587,3.962779551438701e-05,0.0008670210646090419,0.509
relevant_mid,4,102542,6.738142547008765,0.9971861205182359,6.719182225950536,0.81475
mixed_budget_limited,4,102543,20.8005069491843,0.002226597197479235,0.046314350479201113,0.5005
relevant_high,4,102544,24.201659678336267,0.9995197536464768,24.190036919526538,0.8235
random,12,102620,0.9859807923403716,0.12380626344636919,0.12207059772955188,0.5505
irrelevant_high,12,102621,42.60575692224715,0.059841717260209634,2.5496016593983337,0.5005
relevant_mid,12,102622,7.0886735025441805,0.9983931186150266,7.077282845048788,0.7385
mixed_budget_limited,12,102623,40.447401382939326,0.9961188572280828,40.290419243419095,0.66225
relevant_high,12,102624,24.52498746090133,0.9995792763519927,24.514669218709447,0.66825
